NACA 0012                                       
 Alfa =   2.00000 Re =        0.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.10627 -0.04785 -0.15379
   0.11487 -0.04916 -0.16477
   0.12372 -0.05039 -0.17432
   0.13278 -0.05153 -0.18211
   0.14201 -0.05260 -0.18915
   0.15139 -0.05359 -0.19488
   0.16089 -0.05450 -0.19970
   0.17051 -0.05533 -0.20364
   0.18022 -0.05608 -0.20671
   0.19001 -0.05676 -0.20873
   0.19987 -0.05737 -0.21107
   0.20979 -0.05791 -0.21158
   0.21978 -0.05838 -0.21273
   0.22981 -0.05878 -0.21287
   0.23990 -0.05913 -0.21278
   0.25002 -0.05941 -0.21176
   0.26019 -0.05964 -0.21083
   0.27039 -0.05981 -0.20970
   0.28062 -0.05993 -0.20787
   0.29089 -0.06000 -0.20644
   0.30118 -0.06002 -0.20441
   0.31150 -0.05999 -0.20155
   0.32185 -0.05991 -0.19970
   0.33222 -0.05979 -0.19656
   0.34261 -0.05963 -0.19408
   0.35303 -0.05942 -0.19108
   0.36346 -0.05918 -0.18778
   0.37391 -0.05889 -0.18507
   0.38437 -0.05857 -0.18132
   0.39486 -0.05822 -0.17808
   0.40535 -0.05783 -0.17419
   0.41587 -0.05740 -0.17132
   0.42639 -0.05694 -0.16735
   0.43693 -0.05645 -0.16371
   0.44748 -0.05594 -0.15980
   0.45805 -0.05539 -0.15612
   0.46862 -0.05481 -0.15224
   0.47920 -0.05420 -0.14798
   0.48979 -0.05357 -0.14452
   0.50039 -0.05292 -0.14045
   0.51100 -0.05223 -0.13616
   0.52162 -0.05153 -0.13217
   0.53225 -0.05079 -0.12838
   0.54288 -0.05004 -0.12397
   0.55352 -0.04927 -0.11998
   0.56416 -0.04847 -0.11583
   0.57481 -0.04765 -0.11176
   0.58547 -0.04681 -0.10712
   0.59613 -0.04595 -0.10327
   0.60679 -0.04507 -0.09904
   0.61746 -0.04417 -0.09434
   0.62814 -0.04326 -0.09011
   0.63881 -0.04232 -0.08597
   0.64949 -0.04137 -0.08155
   0.66017 -0.04040 -0.07687
   0.67086 -0.03941 -0.07244
   0.68154 -0.03841 -0.06785
   0.69223 -0.03739 -0.06321
   0.70292 -0.03635 -0.05898
   0.71361 -0.03530 -0.05360
   0.72430 -0.03423 -0.04897
   0.73499 -0.03315 -0.04387
   0.74568 -0.03205 -0.03911
   0.75637 -0.03094 -0.03346
   0.76706 -0.02981 -0.02864
   0.77775 -0.02866 -0.02275
   0.78843 -0.02750 -0.01761
   0.79912 -0.02633 -0.01150
   0.80980 -0.02514 -0.00557
   0.82048 -0.02394  0.00088
   0.83115 -0.02272  0.00732
   0.84182 -0.02148  0.01425
   0.85249 -0.02023  0.02117
   0.86314 -0.01897  0.02911
   0.87378 -0.01769  0.03738
   0.88441 -0.01640  0.04554
   0.89501 -0.01510  0.05502
   0.90556 -0.01378  0.06551
   0.91606 -0.01246  0.07549
   0.92645 -0.01113  0.08853
   0.93670 -0.00981  0.10117
   0.94672 -0.00850  0.11651
   0.95642 -0.00721  0.13284
   0.96568 -0.00598  0.15266
   0.97436 -0.00480  0.17498
   0.98236 -0.00371  0.20230
   0.98960 -0.00271  0.23830
   0.99609 -0.00181  0.28942
   1.00000 -0.00126  0.42082
